,Temperature,WI,GHGI,Age,Uses_College,Uses_Sports,Uses_ResidentHousing,Uses_Laboratory,Uses_Office,Uses_Hotel,Uses_Distribution,Uses_Food,Uses_Worship,Uses_Medical,Y_Gas,Y_Very_Low_G,Y_Low_G,Y_Medium_G,Y_High_G,Y_Very_High_G
9,54.0,5.101698900941956,0.5961916919091644,1902.0,1,0,0,0,0,0,0,0,0,0,4.269597926890149,1,0,0,0,0
10,48.55,4.853188452796945,0.598990854488868,1902.0,1,0,0,0,0,0,0,0,0,0,3.677930856980692,1,0,0,0,0
11,45.25,4.629109989531606,0.6015205789592953,1902.0,1,0,0,0,0,0,0,0,0,0,6.526973920410644,1,0,0,0,0
0,26.2,0.9474409039636122,0.7650329209294782,1931.0,1,0,0,0,0,0,0,0,0,0,25.462139415194624,0,0,1,0,0
1,19.1,0.9874577887516766,0.7656067243103443,1931.0,1,0,0,0,0,0,0,0,0,0,12.838048173846596,0,1,0,0,0
2,33.3,1.00695968830029,0.7680166985099822,1931.0,1,0,0,0,0,0,0,0,0,0,8.59218121668131,1,0,0,0,0
3,48.05,1.0425601526548613,0.7713447581190058,1931.0,1,0,0,0,0,0,0,0,0,0,5.728748190425362,1,0,0,0,0
4,62.3,1.0563951041203552,0.7726453791156358,1931.0,1,0,0,0,0,0,0,0,0,0,4.160382287879495,1,0,0,0,0
5,64.65,1.0141779238475042,0.7704266727096201,1931.0,1,0,0,0,0,0,0,0,0,0,3.912964722089265,1,0,0,0,0
6,73.85,1.1231479534681665,0.7675767825846516,1931.0,1,0,0,0,0,0,0,0,0,0,1.643871244072342,1,0,0,0,0
7,74.65,1.1185257500037225,0.7630246090964466,1931.0,1,0,0,0,0,0,0,0,0,0,7.640551576850503,1,0,0,0,0
8,69.2,1.1213275651174437,0.76053812777936,1931.0,1,0,0,0,0,0,0,0,0,0,6.519264281434134,1,0,0,0,0
9,54.0,1.0213645004668797,0.7618004952172657,1931.0,1,0,0,0,0,0,0,0,0,0,7.444502205561394,1,0,0,0,0
10,48.55,0.971612495368428,0.7653772029579979,1931.0,1,0,0,0,0,0,0,0,0,0,6.412867170524915,1,0,0,0,0
11,45.25,0.9267517946210488,0.7686096286702107,1931.0,1,0,0,0,0,0,0,0,0,0,11.380479515440074,1,0,0,0,0
0,26.2,0.544686322889755,0.5238812393321427,1926.0,1,0,0,0,0,0,0,0,0,0,19.463009492824813,0,1,0,0,0
1,19.1,0.56769213754007,0.5242741699081706,1926.0,1,0,0,0,0,0,0,0,0,0,9.813278036165709,1,0,0,0,0
2,33.3,0.5789038320215525,0.5259244783274879,1926.0,1,0,0,0,0,0,0,0,0,0,6.5677790014983755,1,0,0,0,0
3,48.05,0.5993706346910771,0.5282034756684496,1926.0,1,0,0,0,0,0,0,0,0,0,4.378998896915729,1,0,0,0,0
4,62.3,0.6073243854839472,0.5290941183074463,1926.0,1,0,0,0,0,0,0,0,0,0,3.1801553923806405,1,0,0,0,0
5,64.65,0.5830536150439195,0.5275747867468051,1926.0,1,0,0,0,0,0,0,0,0,0,2.9910318331563435,1,0,0,0,0
6,73.85,0.6457007780394766,0.5256232315525331,1926.0,1,0,0,0,0,0,0,0,0,0,1.256559046616043,1,0,0,0,0
7,74.65,0.6430434608409432,0.5225059823160451,1926.0,1,0,0,0,0,0,0,0,0,0,5.840362643757924,1,0,0,0,0
8,69.2,0.6446542318825199,0.5208032831532574,1926.0,1,0,0,0,0,0,0,0,0,0,4.983261639046226,1,0,0,0,0
9,54.0,0.5871851972635567,0.5216677304205188,1926.0,1,0,0,0,0,0,0,0,0,0,5.6905044283015584,1,0,0,0,0
10,48.55,0.5585826357738654,0.5241169976777595,1926.0,1,0,0,0,0,0,0,0,0,0,4.901932731609662,1,0,0,0,0
11,45.25,0.5327920983059095,0.5263305065893834,1926.0,1,0,0,0,0,0,0,0,0,0,8.699126857726988,1,0,0,0,0
0,26.2,2.023195992639775,1.0810247795742627,2004.0,0,1,0,0,0,0,0,0,0,0,22.247837137639532,0,1,0,0,0
1,19.1,2.108649344508409,1.0818355886993998,2004.0,0,1,0,0,0,0,0,0,0,0,11.217392233995296,1,0,0,0,0
2,33.3,2.1502943324443886,1.085240987024975,2004.0,0,1,0,0,0,0,0,0,0,0,7.507517151199689,1,0,0,0,0
3,48.05,2.2263167170775207,1.0899436799507691,2004.0,0,1,0,0,0,0,0,0,0,0,5.005559614015508,1,0,0,0,0
4,62.3,2.255860320532104,1.0917815139677463,2004.0,0,1,0,0,0,0,0,0,0,0,3.6351818699032,1,0,0,0,0
5,64.65,2.165708386420693,1.0886463853505501,2004.0,0,1,0,0,0,0,0,0,0,0,3.4189979264044292,1,0,0,0,0
6,73.85,2.3984065170629707,1.0846193666957034,2004.0,0,1,0,0,0,0,0,0,0,0,1.436351404609211,1,0,0,0,0
7,74.65,2.388536114078144,1.0781869476362835,2004.0,0,1,0,0,0,0,0,0,0,0,6.676019809319923,1,0,0,0,0
8,69.2,2.394519200818946,1.0746734414273567,2004.0,0,1,0,0,0,0,0,0,0,0,5.696282139749199,1,0,0,0,0
9,54.0,2.1810548348971013,1.076457221502658,2004.0,0,1,0,0,0,0,0,0,0,0,6.504719416518921,1,0,0,0,0
10,48.55,2.0748127918104258,1.081511265049345,2004.0,0,1,0,0,0,0,0,0,0,0,5.603316440487844,1,0,0,0,0
11,45.25,1.9790157984576926,1.08607882312095,2004.0,0,1,0,0,0,0,0,0,0,0,9.943824856157255,1,0,0,0,0
0,26.2,4.5568485803013585,0.7650329209294782,2002.0,0,0,0,0,0,1,0,0,0,0,17.082879098092363,0,1,0,0,0
1,19.1,4.749315344055921,0.7656067243103443,2002.0,0,0,0,0,0,1,0,0,0,0,8.613212787548886,1,0,0,0,0
2,33.3,4.843112437784409,0.7680166985099822,2002.0,0,0,0,0,0,1,0,0,0,0,5.76460565705158,1,0,0,0,0
3,48.05,5.014337814241692,0.7713447581190058,2002.0,0,0,0,0,0,1,0,0,0,0,3.843491354935063,1,0,0,0,0
4,62.3,5.080878934305573,0.7726453791156358,2002.0,0,0,0,0,0,1,0,0,0,0,2.7912543587471776,1,0,0,0,0
5,64.65,4.877829543904695,0.7704266727096201,2002.0,0,0,0,0,0,1,0,0,0,0,2.6252587095121185,1,0,0,0,0
6,73.85,5.401936031913559,0.7675767825846516,2002.0,0,0,0,0,0,1,0,0,0,0,1.10289450770034,1,0,0,0,0
7,74.65,5.379704902555832,0.7630246090964466,2002.0,0,0,0,0,0,1,0,0,0,0,5.126145006974011,1,0,0,0,0
8,69.2,5.393180621378837,0.76053812777936,2002.0,0,0,0,0,0,1,0,0,0,0,4.373858838499335,1,0,0,0,0
9,54.0,4.91239438201568,0.7618004952172657,2002.0,0,0,0,0,0,1,0,0,0,0,4.994612944707858,1,0,0,0,0
10,48.55,4.673105205401523,0.7653772029579979,2002.0,0,0,0,0,0,1,0,0,0,0,4.302475638823511,1,0,0,0,0
11,45.25,4.457341436224137,0.7686096286702107,2002.0,0,0,0,0,0,1,0,0,0,0,7.6353110974077785,1,0,0,0,0
0,26.2,3.3911409915274002,0.8980821245693876,1972.0,0,1,0,0,0,0,0,0,0,0,27.400281347561407,0,0,1,0,0
1,19.1,3.534371981228522,0.8987557198425783,1972.0,0,1,0,0,0,0,0,0,0,0,13.815262189124061,0,1,0,0,0
2,33.3,3.604174425576537,0.9015848199899793,1972.0,0,1,0,0,0,0,0,0,0,0,9.246205862253968,1,0,0,0,0
3,48.05,3.7315978812085873,0.9054916725744853,1972.0,0,1,0,0,0,0,0,0,0,0,6.164812376029809,1,0,0,0,0
4,62.3,3.7811168230593717,0.9070184885270509,1972.0,0,1,0,0,0,0,0,0,0,0,4.477064685824557,1,0,0,0,0
5,64.65,3.6300103952378158,0.9044139201373802,1972.0,0,1,0,0,0,0,0,0,0,0,4.2108140459063925,1,0,0,0,0
6,73.85,4.020042884597992,0.9010683969471998,1972.0,0,1,0,0,0,0,0,0,0,0,1.769000391218841,1,0,0,0,0
7,74.65,4.00349879876226,0.8957245411132202,1972.0,0,1,0,0,0,0,0,0,0,0,8.222139524195889,1,0,0,0,0
8,69.2,4.013527234354467,0.8928056282627271,1972.0,0,1,0,0,0,0,0,0,0,0,7.015501430480941,1,0,0,0,0
9,54.0,3.6557330492426847,0.8942875378637467,1972.0,0,1,0,0,0,0,0,0,0,0,8.011167152874709,1,0,0,0,0
10,48.55,3.4776574951957597,0.898486281733302,1972.0,0,1,0,0,0,0,0,0,0,0,6.901005522421441,1,0,0,0,0
11,45.25,3.317089210064043,0.9022808684389431,1972.0,0,1,0,0,0,0,0,0,0,0,12.246745472107998,0,1,0,0,0
0,26.2,1.914481677518803,0.9562911511618478,2004.0,0,1,0,0,0,0,0,0,0,0,19.308839111841092,0,1,0,0,0
1,19.1,1.9953432831320141,0.9570084053879304,2004.0,0,1,0,0,0,0,0,0,0,0,9.735545103132274,1,0,0,0,0
2,33.3,2.0347505213106043,0.9600208731374779,2004.0,0,1,0,0,0,0,0,0,0,0,6.515754313782368,1,0,0,0,0
3,48.05,2.1066879228233066,0.9641809476487574,2004.0,0,1,0,0,0,0,0,0,0,0,4.34431197306083,1,0,0,0,0
4,62.3,2.134644031725976,0.9658067238945449,2004.0,0,1,0,0,0,0,0,0,0,0,3.1549647470895557,1,0,0,0,0
5,64.65,2.049336317259823,0.9630333408870252,2004.0,0,1,0,0,0,0,0,0,0,0,2.967339273307254,1,0,0,0,0
6,73.85,2.2695306578616212,0.9594709782308145,2004.0,0,1,0,0,0,0,0,0,0,0,1.2466055917293897,1,0,0,0,0
7,74.65,2.2601906306309814,0.9537807613705584,2004.0,0,1,0,0,0,0,0,0,0,0,5.794099966128178,1,0,0,0,0
8,69.2,2.265852222479691,0.9506726597242001,2004.0,0,1,0,0,0,0,0,0,0,0,4.943788229462958,1,0,0,0,0
9,54.0,2.06385814041979,0.9522506190215821,2004.0,0,1,0,0,0,0,0,0,0,0,5.645428807492545,1,0,0,0,0
10,48.55,1.9633249021119097,0.9567215036974975,2004.0,0,1,0,0,0,0,0,0,0,0,4.863103544526984,1,0,0,0,0
11,45.25,1.8726754597433017,0.9607620358377634,2004.0,0,1,0,0,0,0,0,0,0,0,8.630219338446585,1,0,0,0,0
0,26.2,1.7593292427972063,0.9562911511618478,1905.0,0,0,0,1,0,0,0,0,0,0,20.289422801279763,0,1,0,0,0
1,19.1,1.833637703956903,0.9570084053879304,1905.0,0,0,0,1,0,0,0,0,0,0,10.229956842783244,1,0,0,0,0
2,33.3,1.86985132110435,0.9600208731374779,1905.0,0,0,0,1,0,0,0,0,0,0,6.846651597015024,1,0,0,0,0
3,48.05,1.9359588089002986,0.9641809476487574,1905.0,0,0,0,1,0,0,0,0,0,0,4.564934323163907,1,0,0,0,0
4,62.3,1.9616493132727573,0.9658067238945449,1905.0,0,0,0,1,0,0,0,0,0,0,3.31518706567798,1,0,0,0,0
5,64.65,1.8832550625160678,0.9630333408870252,1905.0,0,0,0,1,0,0,0,0,0,0,3.118033184814938,1,0,0,0,0
6,73.85,2.0856045271613817,0.9594709782308145,1905.0,0,0,0,1,0,0,0,0,0,0,1.3099134427779413,1,0,0,0,0
7,74.65,2.07702142959072,0.9537807613705584,1905.0,0,0,0,1,0,0,0,0,0,0,6.088348620273223,1,0,0,0,0
8,69.2,2.0822241976386895,0.9506726597242001,1905.0,0,0,0,1,0,0,0,0,0,0,5.194854493663034,1,0,0,0,0
9,54.0,1.8966000155882599,0.9522506190215821,1905.0,0,0,0,1,0,0,0,0,0,0,5.9321273177680585,1,0,0,0,0
10,48.55,1.8042141400246021,0.9567215036974975,1905.0,0,0,0,1,0,0,0,0,0,0,5.110072302627525,1,0,0,0,0
11,45.25,1.7209110629175686,0.9607620358377634,1905.0,0,0,0,1,0,0,0,0,0,0,9.068498008155382,1,0,0,0,0
0,26.2,3.569112133256573,2.053947081191099,1983.0,0,0,0,1,0,0,0,0,0,0,38.00625250818992,0,0,0,1,0
1,19.1,3.719860056884004,2.055487618528859,1983.0,0,0,0,1,0,0,0,0,0,0,19.16280846048422,0,1,0,0,0
2,33.3,3.793325817132814,2.0619578753474523,1983.0,0,0,0,1,0,0,0,0,0,0,12.825183445600118,0,1,0,0,0
3,48.05,3.9274366083662366,2.070892991906461,1983.0,0,0,0,1,0,0,0,0,0,0,8.551058759469845,1,0,0,0,0
4,62.3,3.979554363607683,2.074384876538718,1983.0,0,0,0,1,0,0,0,0,0,0,6.210025685013333,1,0,0,0,0
5,64.65,3.8205176894326995,2.068428132166045,1983.0,0,0,0,1,0,0,0,0,0,0,5.8407160081220955,1,0,0,0,0
6,73.85,4.231019551082713,2.0607767967218362,1983.0,0,0,0,1,0,0,0,0,0,0,2.453736686237847,1,0,0,0,0
7,74.65,4.2136072118029615,2.0485552005089387,1983.0,0,0,0,1,0,0,0,0,0,0,11.404726358474745,1,0,0,0,0
8,69.2,4.224161951708838,2.0418795387119775,1983.0,0,0,0,1,0,0,0,0,0,0,9.731028505010451,1,0,0,0,0
9,54.0,3.8475902991347772,2.0452687208550504,1983.0,0,0,0,1,0,0,0,0,0,0,11.11209180064025,1,0,0,0,0
10,48.55,3.660169126681845,2.0548714035937556,1983.0,0,0,0,1,0,0,0,0,0,0,9.572214063010163,1,0,0,0,0
11,45.25,3.491174025590017,2.063549763929805,1983.0,0,0,0,1,0,0,0,0,0,0,16.987157719747024,0,1,0,0,0
0,26.2,5.623895727648228,1.4552256648115076,1917.0,0,0,0,1,0,0,0,0,0,0,30.72695781515171,0,0,1,0,0
1,19.1,5.861431162789236,1.4563171386338072,1917.0,0,0,0,1,0,0,0,0,0,0,15.492577361007848,0,1,0,0,0
2,33.3,5.977192102699726,1.4609013286874664,1917.0,0,0,0,1,0,0,0,0,0,0,10.368790519918198,1,0,0,0,0
3,48.05,6.188512195117497,1.4672318768568047,1917.0,0,0,0,1,0,0,0,0,0,0,6.91328411609364,1,0,0,0,0
4,62.3,6.270634809956595,1.469705884187351,1917.0,0,0,0,1,0,0,0,0,0,0,5.020626467008152,1,0,0,0,0
5,64.65,6.020038684354908,1.4654855187411253,1917.0,0,0,0,1,0,0,0,0,0,0,4.722050256156554,1,0,0,0,0
6,73.85,6.666871728465152,1.46006453209037,1917.0,0,0,0,1,0,0,0,0,0,0,1.9837752651691591,1,0,0,0,0
7,74.65,6.639434882317535,1.4514055064334586,1917.0,0,0,0,1,0,0,0,0,0,0,9.220391977206592,1,0,0,0,0
8,69.2,6.65606612124948,1.4466757865368263,1917.0,0,0,0,1,0,0,0,0,0,0,7.867255586618616,1,0,0,0,0
9,54.0,6.062697342406338,1.4490770289458859,1917.0,0,0,0,1,0,0,0,0,0,0,8.98380538630557,1,0,0,0,0
10,48.55,5.767375399111962,1.4558805491048876,1917.0,0,0,0,1,0,0,0,0,0,0,7.73885869564053,1,0,0,0,0
11,45.25,5.501087652597082,1.4620291849705096,1917.0,0,0,0,1,0,0,0,0,0,0,13.733626553723449,0,1,0,0,0
0,26.2,1.3330176881908329,2.095524957328571,1983.0,0,0,0,1,0,0,0,0,0,0,55.02180720289815,0,0,0,0,1
1,19.1,1.3893201077144395,2.097096679632682,1983.0,0,0,0,1,0,0,0,0,0,0,27.742076184744153,0,0,1,0,0
2,33.3,1.4167586286215135,2.1036979133099516,1983.0,0,0,0,1,0,0,0,0,0,0,18.56707052960688,0,1,0,0,0
3,48.05,1.4668472921929498,2.1128139026737984,1983.0,0,0,0,1,0,0,0,0,0,0,12.379402740189049,0,1,0,0,0
4,62.3,1.4863126065377412,2.1163764732297854,1983.0,0,0,0,1,0,0,0,0,0,0,8.990279583398006,1,0,0,0,0
5,64.65,1.4269144448014046,2.1102991469872205,1983.0,0,0,0,1,0,0,0,0,0,0,8.455628453674139,1,0,0,0,0
6,73.85,1.5802316346750234,2.1024929262101324,1983.0,0,0,0,1,0,0,0,0,0,0,3.5522846365282685,1,0,0,0,0
7,74.65,1.5737283488756193,2.0900239292641802,1983.0,0,0,0,1,0,0,0,0,0,0,16.51066899486044,0,1,0,0,0
8,69.2,1.57767040910334,2.0832131326130297,1983.0,0,0,0,1,0,0,0,0,0,0,14.087649766922286,0,1,0,0,0
9,54.0,1.437025717927875,2.0866709216820754,1983.0,0,0,0,1,0,0,0,0,0,0,16.087020748598718,0,1,0,0,0
10,48.55,1.367026309477442,2.096467990711038,1983.0,0,0,0,1,0,0,0,0,0,0,13.857733449682309,0,1,0,0,0
11,45.25,1.3039088027804873,2.1053220263575336,1983.0,0,0,0,1,0,0,0,0,0,0,24.59237770889761,0,0,1,0,0
0,26.2,2.089809475364521,1.696377346408843,1997.0,0,0,0,1,0,0,0,0,0,0,38.48753439557905,0,0,0,1,0
1,19.1,2.178076368481349,1.6976496930359808,1997.0,0,0,0,1,0,0,0,0,0,0,19.405471496561002,0,1,0,0,0
2,33.3,2.221092512595246,1.7029935488699608,1997.0,0,0,0,1,0,0,0,0,0,0,12.987591683388889,0,1,0,0,0
3,48.05,2.299617925023943,1.7103731593073608,1997.0,0,0,0,1,0,0,0,0,0,0,8.65934277663376,1,0,0,0,0
4,62.3,2.3301342480398084,1.7132571449955403,1997.0,0,0,0,1,0,0,0,0,0,0,6.288664663738587,1,0,0,0,0
5,64.65,2.2370140724296106,1.7083374047039401,1997.0,0,0,0,1,0,0,0,0,0,0,5.914678333754887,1,0,0,0,0
6,73.85,2.4773737608062896,1.7020180831224883,1997.0,0,0,0,1,0,0,0,0,0,0,2.48480891634667,1,0,0,0,0
7,74.65,2.4671783760000734,1.6919241332138601,1997.0,0,0,0,1,0,0,0,0,0,0,11.549147022568908,1,0,0,0,0
8,69.2,2.473358455146307,1.6864106311629288,1997.0,0,0,0,1,0,0,0,0,0,0,9.854254749537443,1,0,0,0,0
9,54.0,2.252865800861193,1.6892097937426325,1997.0,0,0,0,1,0,0,0,0,0,0,11.25280676625021,1,0,0,0,0
10,48.55,2.1431257513888076,1.6971407543851258,1997.0,0,0,0,1,0,0,0,0,0,0,9.693429203854306,1,0,0,0,0
11,45.25,2.0441746536462873,1.7043083070513367,1997.0,0,0,0,1,0,0,0,0,0,0,17.202269991786338,0,1,0,0,0
0,26.2,5.896577676518402,0.8897665493418931,1924.0,0,0,1,0,0,0,0,0,0,0,45.28754941396818,0,0,0,1,0
1,19.1,6.145630328285874,0.8904339076218135,1924.0,0,0,1,0,0,0,0,0,0,0,22.834049078571415,0,1,0,0,0
2,33.3,6.267004088957362,0.8932368123974794,1924.0,0,0,1,0,0,0,0,0,0,0,15.28225201657705,0,1,0,0,0
3,48.05,6.488570312780561,0.8971074904210177,1924.0,0,0,1,0,0,0,0,0,0,0,10.189283882376632,1,0,0,0,0
4,62.3,6.574674750140044,0.8986201691888374,1924.0,0,0,1,0,0,0,0,0,0,0,7.39975205425606,1,0,0,0,0
5,64.65,6.311928143231876,0.8960397171731451,1924.0,0,0,1,0,0,0,0,0,0,0,6.959689455670091,1,0,0,0,0
6,73.85,6.990123734516401,0.8927251710495404,1924.0,0,0,1,0,0,0,0,0,0,0,2.923827372954414,1,0,0,0,0
7,74.65,6.9613565769546515,0.8874307953621717,1924.0,0,0,1,0,0,0,0,0,0,0,13.58966155373809,0,1,0,0,0
8,69.2,6.978794203284889,0.8845389094825166,1924.0,0,0,1,0,0,0,0,0,0,0,11.595314065085185,1,0,0,0,0
9,54.0,6.356655162180622,0.8860070976983415,1924.0,0,0,1,0,0,0,0,0,0,0,13.240963612647775,0,1,0,0,0
10,48.55,6.047014147740289,0.8901669643098454,1924.0,0,0,1,0,0,0,0,0,0,0,11.406073705536716,1,0,0,0,0
11,45.25,5.767815091130709,0.8939264159533972,1924.0,0,0,1,0,0,0,0,0,0,0,20.241583788618396,0,1,0,0,0
0,26.2,2.9332975804815935,0.3658853100097505,1914.0,0,0,1,0,0,0,0,0,0,0,16.26522547037512,0,1,0,0,0
1,19.1,3.0571907234060496,0.366159737713643,1914.0,0,0,1,0,0,0,0,0,0,0,8.200950624853705,1,0,0,0,0
2,33.3,3.1175690272363217,0.3673123340699916,1914.0,0,0,1,0,0,0,0,0,0,0,5.488689009700614,1,0,0,0,0
3,48.05,3.227788836744669,0.36890401475256807,1914.0,0,0,1,0,0,0,0,0,0,0,3.6595267766331863,1,0,0,0,0
4,62.3,3.2706221464424443,0.3695260508813911,1914.0,0,0,1,0,0,0,0,0,0,0,2.657653972114104,1,0,0,0,0
5,64.65,3.139916840991683,0.3684649304263401,1914.0,0,0,1,0,0,0,0,0,0,0,2.4996035260267675,1,0,0,0,0
6,73.85,3.4772904153160327,0.3671019394970073,1914.0,0,0,1,0,0,0,0,0,0,0,1.0501056487479106,1,0,0,0,0
7,74.65,3.4629799731744417,0.36492481304612673,1914.0,0,0,1,0,0,0,0,0,0,0,4.8807875916876755,1,0,0,0,0
8,69.2,3.4716544535136933,0.3637356263292592,1914.0,0,0,1,0,0,0,0,0,0,0,4.164508791245213,1,0,0,0,0
9,54.0,3.162166638020046,0.36433936727782273,1914.0,0,0,1,0,0,0,0,0,0,0,4.755551170060052,1,0,0,0,0
10,48.55,3.0081333515439526,0.36604996663208605,1914.0,0,0,1,0,0,0,0,0,0,0,4.096542271617163,1,0,0,0,0
