,Temperature,WI,GHGI,Age,Uses_College,Uses_Sports,Uses_ResidentHousing,Uses_Laboratory,Uses_Office,Uses_Hotel,Uses_Distribution,Uses_Food,Uses_Worship,Uses_Medical,Y_Electric,Y_Very_Low_E,Y_Low_E,Y_Medium_E,Y_High_E,Y_Very_High_E
3,48.05,5.207570835420533,0.6036611150496568,1902.0,1,0,0,0,0,0,0,0,0,0,2.9256003606492014,1,0,0,0,0
4,62.3,5.276676190711257,0.6046789923513672,1902.0,1,0,0,0,0,0,0,0,0,0,3.4568998644838267,1,0,0,0,0
5,64.65,5.065802068788653,0.6029426134249202,1902.0,1,0,0,0,0,0,0,0,0,0,3.5780729638279003,1,0,0,0,0
6,73.85,5.61010557659338,0.6007122646314665,1902.0,1,0,0,0,0,0,0,0,0,0,3.673133753836194,1,0,0,0,0
7,74.65,5.587017746221651,0.5971496940754801,1902.0,1,0,0,0,0,0,0,0,0,0,3.7683913968365745,1,0,0,0,0
8,69.2,5.601012766686705,0.5952037521751514,1902.0,1,0,0,0,0,0,0,0,0,0,3.323982803709363,1,0,0,0,0
9,54.0,5.101698900941956,0.5961916919091644,1902.0,1,0,0,0,0,0,0,0,0,0,3.094206388759876,1,0,0,0,0
10,48.55,4.853188452796945,0.598990854488868,1902.0,1,0,0,0,0,0,0,0,0,0,3.072937623287946,1,0,0,0,0
11,45.25,4.629109989531606,0.6015205789592953,1902.0,1,0,0,0,0,0,0,0,0,0,2.9055050310618125,1,0,0,0,0
0,26.2,0.4243932089681138,0.33262300909977316,1909.0,1,0,0,0,0,0,0,0,0,0,4.303034467580164,1,0,0,0,0
1,19.1,0.44231822579720154,0.3328724888305845,1909.0,1,0,0,0,0,0,0,0,0,0,2.402420993579823,1,0,0,0,0
2,33.3,0.45105383526454174,0.3339203036999923,1909.0,1,0,0,0,0,0,0,0,0,0,2.0624104484633548,1,0,0,0,0
3,48.05,0.46700057689769775,0.3353672861386982,1909.0,1,0,0,0,0,0,0,0,0,0,2.0598021283866434,1,0,0,0,0
4,62.3,0.4731977543931973,0.33593277352853734,1909.0,1,0,0,0,0,0,0,0,0,0,2.4338695722963384,1,0,0,0,0
5,64.65,0.4542871452621937,0.33496811856940006,1909.0,1,0,0,0,0,0,0,0,0,0,2.5191828677447785,1,0,0,0,0
6,73.85,0.5030987812793773,0.33372903590637026,1909.0,1,0,0,0,0,0,0,0,0,0,2.586111495529658,1,0,0,0,0
7,74.65,0.5010283283861441,0.33174983004193337,1909.0,1,0,0,0,0,0,0,0,0,0,2.6531787198971513,1,0,0,0,0
8,69.2,0.5022833631878643,0.33066875120841743,1909.0,1,0,0,0,0,0,0,0,0,0,2.3402878075533975,1,0,0,0,0
